INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,LATITUDE,LONGITUDE
216351812,2020-08-07,14:40:00,BRONX,48,False,18-24,M,BLACK,25-44,M,BLACK HISPANIC,1013656.75,251677.296875,40.857430143000045,-73.893696343
11118232,2006-04-26,18:26:00,QUEENS,105,True,45-64,M,BLACK,25-44,M,BLACK,1055658.875,201767.4375,40.72020175200004,-73.74239028299996
26543083,2007-01-28,06:00:00,BROOKLYN,63,True,UNKNOWN,U,UNKNOWN,25-44,M,BLACK,1005491.625,170817.25,40.63551320600004,-73.92346854399993
228798150,2021-05-27,21:06:00,BRONX,43,False,UNKNOWN,U,UNKNOWN,25-44,M,BLACK,1026600.0,238546.0,40.82133600200007,-73.84698961699996
93607540,2013-11-15,22:37:00,BRONX,47,False,UNKNOWN,U,UNKNOWN,18-24,M,BLACK,1027500.375,260415.96875,40.88135813300005,-73.84359545999997
23354077,2006-07-02,04:35:00,MANHATTAN,10,False,UNKNOWN,U,UNKNOWN,25-44,F,BLACK,983129.625,212860.3125,40.750937087000075,-74.00404511799996
139195504,2014-10-15,23:30:00,BRONX,52,False,UNKNOWN,U,UNKNOWN,25-44,M,BLACK HISPANIC,1017783.5625,256685.0625,40.87116022300006,-73.87875291699999
80102963,2011-08-02,15:57:00,BROOKLYN,71,True,18-24,M,BLACK,25-44,M,BLACK,997912.0,182352.0,40.667188518000046,-73.95075432199997
10333320,2006-02-03,00:59:00,MANHATTAN,32,False,UNKNOWN,M,BLACK,18-24,M,BLACK,1000828.125,240292.78125,40.82621638200004,-73.94009981699996
207701108,2020-01-09,03:34:00,MANHATTAN,9,True,25-44,M,BLACK,25-44,M,BLACK,988875.1875,203909.265625,40.72636754000007,-73.98331432699997
29259597,2007-05-27,00:20:00,MANHATTAN,25,True,<18,M,BLACK,25-44,M,BLACK,1000597.875,231061.71875,40.800880121000034,-73.94095425899997
201851566,2019-08-30,22:49:00,QUEENS,104,True,25-44,M,BLACK,18-24,M,WHITE HISPANIC,1010732.875,198666.390625,40.71193868400008,-73.90447508499993
76854526,2011-01-16,03:00:00,QUEENS,115,False,UNKNOWN,U,UNKNOWN,18-24,M,BLACK,1022722.0,216478.0,40.760783091000064,-73.86112732499998
223928176,2021-02-03,19:20:00,BROOKLYN,73,False,UNKNOWN,U,UNKNOWN,45-64,M,BLACK,1010707.0,182888.0,40.668630731000064,-73.90463038099993
62725595,2009-06-13,03:45:00,STATEN ISLAND,120,False,18-24,M,BLACK,18-24,M,BLACK,945223.0,168709.0,40.629665998000064,-74.1406022
80991314,2011-09-30,23:40:00,QUEENS,101,False,18-24,M,BLACK,18-24,M,BLACK,1047439.4375,156662.75,40.59646224100004,-73.77246483599998
238312741,2021-12-26,22:20:00,QUEENS,103,False,UNKNOWN,U,UNKNOWN,18-24,M,BLACK,1041521.0,192400.0,40.69459323800004,-73.79347284999993
54515432,2008-11-30,09:30:00,MANHATTAN,17,False,UNKNOWN,U,UNKNOWN,18-24,F,BLACK,992411.0,215025.0,40.756874911000075,-73.97054405699998
45610182,2008-04-12,22:07:00,MANHATTAN,34,False,UNKNOWN,U,UNKNOWN,18-24,M,WHITE HISPANIC,1003532.375,249972.03125,40.85277761500004,-73.93030074399996
147064699,2015-10-19,18:47:00,MANHATTAN,34,False,UNKNOWN,U,UNKNOWN,25-44,M,WHITE HISPANIC,1002765.0625,248133.671875,40.84773350500007,-73.93307945299993
232924791,2021-08-30,20:20:00,BROOKLYN,75,False,UNKNOWN,U,UNKNOWN,18-24,M,BLACK,1014980.0,186801.0,40.67935723000005,-73.88920942899993
25511190,2006-11-28,19:26:00,BROOKLYN,79,False,25-44,M,BLACK,25-44,M,BLACK,1000577.1875,188457.28125,40.68394162600004,-73.94113239099994
58892889,2009-02-18,10:00:00,QUEENS,102,False,18-24,M,BLACK,18-24,F,BLACK,1024637.0625,189412.953125,40.68648764700004,-73.85437686199998
37256918,2007-12-25,03:45:00,BROOKLYN,79,False,25-44,M,BLACK,<18,M,BLACK,998224.9375,186767.625,40.67930793000005,-73.94961712799994
